"week","requirement_cluster","review_dataset","count"
"2021-08",230,"foodpanda",33
"2021-08",230,"ubereats",40
"2021-08",230,"zomato",12
"2021-08",231,"ubereats",1
"2021-08",231,"zomato",2
"2021-08",232,"foodpanda",479
"2021-08",232,"ubereats",1509
"2021-08",232,"zomato",614
"2021-08",233,"foodpanda",91
"2021-08",233,"ubereats",554
"2021-08",233,"zomato",409
"2021-08",234,"foodpanda",3
"2021-08",234,"ubereats",1
"2021-08",234,"zomato",12
"2021-08",235,"foodpanda",797
"2021-08",235,"ubereats",2453
"2021-08",235,"zomato",2259
"2021-08",236,"foodpanda",96
"2021-08",236,"ubereats",171
"2021-08",236,"zomato",117
"2021-08",237,"foodpanda",153
"2021-08",237,"ubereats",211
"2021-08",237,"zomato",51
"2021-08",238,"foodpanda",54
"2021-08",238,"ubereats",249
"2021-08",238,"zomato",114
"2021-08",239,"foodpanda",61
"2021-08",239,"ubereats",196
"2021-08",239,"zomato",102
"2021-08",240,"foodpanda",1
"2021-08",241,"foodpanda",314
"2021-08",241,"ubereats",834
"2021-08",241,"zomato",1283
"2021-08",242,"foodpanda",1
"2021-08",242,"ubereats",23
"2021-08",242,"zomato",3
"2021-08",243,"foodpanda",40
